GlobalSeq,GreatBooksSet,Evidence,PresentIn1952Set,PresentIn1990Set,EditionNotes,IsGreatBooksCoreOrExpansion,YearLabel,Year,SeqInYear,Author,Work,PlanSelection,FocusSections,Themes,ReadStrategy,IsMissingFromOriginalPlan,PlacementNote,SelectionLogic,GreatIdeas_VolI,GreatIdeas_VolII
44,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,16,Pascal,Pensées,Selected numbers (as listed),Selected numbers (as listed) (Revisit these as anchors after reading the whole work),Chance; God; Infinity; Reasoning; Religion; Theology; Truth; Will,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Chance; God; Infinity,Reasoning; Religion; Theology; Truth; Will
45,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,17,Pascal,Treatise on the Arithmetical Triangle,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Chance; Infinity; Reasoning; Theology; Truth; Will,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Chance; Infinity,Religion; Reasoning; Theology; Truth; Will
46,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,18,Swift,Gulliver's Travels,,Focus: Lilliput (politics); Brobdingnag (morality); Laputa (science satire); Houyhnhnms (human nature) (Read whole; then re-read these anchors),Science; Hypothesis; Physics; Induction; Nature,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Hypothesis; Induction,Science; Physics; Nature
47,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,19,Rousseau,A Discourse on the Origin of Inequality,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Citizen; Democracy; Government; Justice; Law; Liberty; Revolution; State,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Citizen; Democracy; Government; Justice; Law; Liberty,Revolution; State
48,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 2,2,20,Kant,Fundamental Principles of the Metaphysic of Morals,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Duty; Justice; Law; Liberty; Virtue and Vice; Will; Judgment; Metaphysics,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Duty; Justice; Law; Liberty; Judgment,Virtue and Vice; Will; Metaphysics
49,Core (1952),core title,Yes,Yes,,Yes,Year 2,2,21,Mill,On Liberty,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Government; Law; Liberty; Custom and Convention; Justice; Opinion; Democracy; Happiness,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Law; Liberty; Custom and Convention; Justice; Democracy; Happiness,Opinion
50,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 2,2,22,Voltaire,Candide,,Focus: optimism vs suffering; Lisbon; El Dorado; 'cultivate our garden' (Read whole; then re-read these anchors),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
51,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 2,2,23,Nietzsche,Beyond Good and Evil,,Focus: critique of morality; perspectivism; free spirits; power psychology (Read whole; then re-read these anchors),Good and Evil; Reasoning; Truth; Virtue and Vice; Will; Wisdom,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Good and Evil,Reasoning; Truth; Virtue and Vice; Will; Wisdom
52,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 2,2,24,Whitehead,Science and the Modern World,Ch. I-VI,Ch. I-VI (Revisit these as anchors after reading the whole work),Science; Mathematics; Nature; Philosophy; Progress; Reasoning; Hypothesis; Induction,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Hypothesis; Induction,Science; Mathematics; Nature; Philosophy; Progress; Reasoning
53,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 2,2,25,Diderot,Rameau's Nephew,Focus: major turns on genius/morality; satire of society; ending exchange,Focus: major turns on genius/morality; satire of society; ending exchange (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Enlightenment dialogue near Voltaire/Rousseau,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
54,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 3,3,1,Aeschylus,Prometheus Bound,,Focus: tyranny vs justice; suffering as resistance; knowledge/power tradeoffs (Read whole; then re-read these anchors),Law; Justice; Punishment; Courage; Fate; Good and Evil; Government; State,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Law; Justice; Courage; Fate; Good and Evil; Government,Punishment; State
55,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,2,Herodotus,The History,Book VII-IX,Book VII-IX (Revisit these as anchors after reading the whole work),Government; History; War and Peace; Cause; Chance; Custom and Convention; Fate; Law,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; History; Cause; Chance; Custom and Convention; Fate; Law,War and Peace
56,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,3,Thucydides,The History of the Peloponnesian War,"Book I-II, V","Book I-II, V (Revisit these as anchors after reading the whole work)",War and Peace; Government; Honor; Cause; Justice; State; Tyranny and Despotism; Courage,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Honor; Cause; Justice; Courage,War and Peace; State; Tyranny and Despotism
57,Core (1952),core title,Yes,Yes,,Yes,Year 3,3,4,Plato,Statesman,,Focus: the 'weaving' metaphor; true statesmanship vs law; regimes (Read whole; then re-read these anchors),Law; Government; Justice; Dialectic; Education; Good and Evil; Knowledge; Love,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Law; Government; Justice; Dialectic; Education; Good and Evil; Knowledge; Love,
